#t x y z vx vy vz
4.64 -32.52 269.37 6.14 51.85 -17.51 43.33
4.71 -28.94 267.80 9.11 52.05 -28.72 37.67
4.79 -25.41 265.39 11.67 50.89 -40.08 32.73
4.86 -21.88 262.11 14.00 49.71 -51.22 29.93
4.93 -18.54 258.18 16.08 44.86 -60.43 25.90
5.00 -15.49 253.51 17.79 42.87 -70.80 21.37
5.07 -12.64 248.11 19.09 37.00 -80.07 14.59
5.14 -9.85 242.11 19.91 36.85 -88.50 5.16
5.21 -7.41 235.55 19.96 29.93 -92.83 -6.11
5.29 -5.13 228.93 18.96 32.29 -89.50 -19.83
5.36 -2.72 222.39 17.43 36.91 -89.56 -23.52
5.43 -0.19 215.53 15.88 37.29 -98.98 -21.08
5.50 2.32 207.90 14.41 35.76 -113.13 -18.35
5.57 4.72 199.28 13.12 32.34 -129.95 -15.76
5.64 6.73 189.10 11.69 24.21 -151.52 -20.35
5.71 7.98 177.41 9.81 10.92 -174.89 -32.40
5.79 8.14 163.17 6.92 -11.86 -222.74 -49.69
5.86 4.22 144.62 1.56 -171.75 -232.82 -87.66
5.93 -4.43 135.21 -0.78 -81.19 -73.05 -13.94
6.00 -6.94 132.12 -0.14 24.73 -35.43 24.11
6.07 -5.02 131.69 2.05 78.95 -0.04 48.38
6.14 0.17 133.57 5.15 125.47 42.33 72.75
6.21 13.89 139.18 11.81 184.92 133.85 119.40
6.29 21.77 144.43 19.31 37.42 -44.52 31.89
6.36 22.97 139.94 18.60 41.60 -50.43 22.52
6.43 25.46 137.90 19.84 41.88 -26.80 18.42
6.50 28.52 136.61 21.99 42.41 -20.29 21.64
6.57 31.59 135.05 24.01 41.79 -31.17 21.67
6.64 34.79 133.24 26.80 39.80 -23.34 34.01
6.71 37.55 131.61 29.57 38.15 -25.97 33.81
6.79 40.28 129.51 32.34 43.46 -27.69 40.54
6.86 43.09 127.20 34.51 41.40 -30.90 28.54
6.93 45.85 124.73 36.44 42.84 -31.45 24.28
7.00 48.60 122.36 38.51 38.41 -28.49 22.22
7.07 51.00 120.01 40.31 38.67 -22.49 29.47
7.14 53.19 118.04 41.94 32.96 -20.71 20.04
7.21 57.67 115.68 43.76 36.46 -24.67 22.22
7.29 60.28 114.02 45.35 32.32 -27.30 21.50
7.36 62.79 112.07 47.03 30.53 -26.07 22.82
7.43 65.25 110.38 48.92 30.31 -24.04 26.97
7.50 67.53 108.65 50.73 29.54 -25.23 24.58
7.57 69.58 106.59 52.53 28.09 -27.91 23.54
7.64 71.50 104.59 54.10 30.75 -25.53 30.24
7.71 73.66 102.95 55.84 28.07 -21.78 25.61
7.79 75.39 101.25 57.13 28.62 -20.98 18.81
7.86 77.24 100.24 58.19 30.19 -16.84 18.87
7.93 79.47 99.19 59.30 32.89 -20.19 18.24
8.00 81.75 97.90 60.60 36.39 -16.90 21.72
8.07 84.30 96.97 62.22 37.31 -17.41 23.04
8.14 86.81 96.00 63.65 37.95 -19.83 22.98
8.21 89.55 94.64 65.77 37.71 -17.16 29.69
8.29 92.54 93.44 68.23 40.83 -17.01 35.23
8.36 95.11 92.29 70.42 40.44 -23.28 38.95
8.43 98.03 90.60 73.02 37.80 -23.01 37.16
8.50 100.45 89.10 75.07 34.59 -25.19 32.59
8.57 103.05 87.31 77.27 32.65 -24.99 26.24
8.64 105.45 85.65 79.17 32.71 -25.73 26.81
8.71 108.07 83.72 81.02 31.62 -25.69 20.14
8.79 110.13 81.87 82.60 27.08 -27.66 14.56
8.86 112.28 79.91 84.12 33.22 -25.99 18.94
8.93 114.64 77.94 85.77 32.94 -26.06 21.99
9.00 116.98 76.18 87.34 31.14 -24.31 20.37
9.07 118.20 73.40 88.69 29.24 -24.09 20.11
9.14 121.17 72.42 90.18 30.68 -27.81 19.35
9.21 122.52 69.92 91.54 31.45 -25.34 21.91
9.29 125.18 68.65 92.96 31.81 -25.93 21.46
9.36 127.30 66.84 94.27 28.93 -25.90 18.09
9.43 129.33 64.88 95.61 27.57 -29.42 20.68
9.50 131.36 63.30 97.39 25.39 -22.34 24.18
9.57 132.83 61.23 98.79 26.84 -17.04 26.74
9.64 135.28 60.77 100.80 29.30 -13.69 24.79
9.71 137.20 59.55 102.53 29.05 -14.82 22.09
9.79 139.26 58.56 104.38 32.20 -17.97 24.96
9.86 142.15 57.43 106.50 36.10 -16.41 25.95
9.93 144.17 55.95 108.05 36.73 -17.12 29.72
10.00 146.79 54.43 110.11 38.28 -19.83 31.63
10.07 149.66 53.37 112.77 36.00 -21.95 31.72
10.14 151.84 51.28 114.53 31.22 -19.68 34.91
10.21 154.05 49.98 116.91 33.04 -17.70 32.29
10.29 156.39 49.02 119.60 33.26 -18.43 32.07
10.36 158.52 47.49 121.61 34.11 -16.90 29.99
10.43 160.52 45.91 123.23 33.93 -19.40 24.34
10.50 163.58 44.25 125.18 29.72 -26.74 20.31
10.57 165.86 42.25 126.84 32.26 -31.85 18.11
10.64 167.03 40.42 127.20 30.92 -31.07 17.10
10.71 170.20 38.05 129.48 29.19 -30.46 17.70
10.79 172.12 36.08 130.85 25.14 -23.95 18.41
10.86 173.10 35.34 131.18 26.31 -20.12 18.39
10.93 175.15 33.85 133.03 30.84 -17.15 24.19
11.00 177.52 32.54 135.03 32.18 -16.96 27.22
11.07 179.82 31.27 137.23 30.61 -20.37 26.90
11.14 181.97 29.61 139.01 29.75 -21.90 28.88
11.21 184.15 27.84 140.94 29.91 -22.40 28.91
11.29 186.60 26.33 143.44 29.33 -18.35 28.49
11.36 188.70 24.94 145.34 29.55 -22.65 27.78
11.43 190.74 23.63 146.60 31.49 -18.96 26.68
